Total_flights_12,Total_flights_6,Total_distance_12,Total_distance_6,Total_points_earned,Total_points_redeem,Total_redeem_dollar,Flight_first_half,Flight_second_half,Month_active_12,redemption_rate,engagement_trend,Gender,Education,MaritalStatus,LoyaltyCard,EnrollmentType,EnrollmentYear,EnrollmentMonth,Churned
17.0,8,30661.0,16168,30661.0,356.0,64,9,8,12,0.01161046246167895,-1,Male,Bachelor,Married,Nova,Standard,2017,6,False
9.0,8,9613.0,8551,9613.0,1296.0,233,1,8,12,0.13480341169128354,7,Female,Bachelor,Married,Star,Standard,2014,3,False
42.0,23,62831.0,32486,62831.0,0.0,0,19,23,12,0.0,4,Female,Bachelor,Married,Aurora,Standard,2014,4,False
15.0,4,24836.0,6917,24836.0,487.0,88,11,4,12,0.0196078431372549,-7,Male,Bachelor,Married,Nova,Standard,2015,1,False
21.0,17,38865.0,30190,38865.0,1316.0,237,4,17,12,0.033859928986775076,13,Female,College,Divorced,Star,Standard,2015,6,False
16.0,10,24630.0,14908,24630.0,0.0,0,6,10,12,0.0,4,Male,Bachelor,Single,Star,Standard,2013,6,False
27.0,17,46290.0,30660,46290.0,1049.0,189,10,17,12,0.022660992417532565,7,Male,Bachelor,Single,Nova,Standard,2015,9,False
14.0,12,20039.0,16949,20039.0,0.0,0,2,12,12,0.0,10,Male,Master,Married,Aurora,Standard,2017,12,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,Bachelor,Married,Aurora,Standard,2015,12,True
22.0,8,31616.0,15940,31616.0,748.0,135,14,8,12,0.023658158585571052,-6,Female,Bachelor,Single,Star,Standard,2016,6,False
29.0,19,42809.0,25566,42809.0,514.0,93,10,19,12,0.012006540527914038,9,Female,Bachelor,Married,Aurora,Standard,2017,4,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,College,Married,Nova,Standard,2014,9,True
21.0,10,28446.0,13976,28446.0,0.0,0,11,10,12,0.0,-1,Male,Doctor,Divorced,Star,Standard,2012,12,False
19.0,15,28752.0,24068,28752.0,976.0,175,4,15,12,0.03394428407470525,11,Male,Master,Divorced,Star,Standard,2013,2,False
17.0,12,29268.0,21629,29268.0,1303.0,235,5,12,12,0.044518090812805354,7,Male,College,Divorced,Nova,Standard,2014,11,False
60.0,59,89625.35999999994,79538,134437.0799999999,1007.0,182,19,59,11,0.005712340811753694,40,Male,Bachelor,Married,Nova,2018 Promotion,2018,3,False
7.0,0,9911.0,0,9911.0,0.0,0,7,0,12,0.0,-7,Male,Bachelor,Married,Aurora,Standard,2013,1,False
6.0,2,9675.0,1914,9675.0,928.0,167,4,2,12,0.09590739975196362,-2,Female,College,Single,Nova,Standard,2014,2,False
17.0,10,33227.0,21169,33227.0,1056.0,190,7,10,12,0.03178042614662333,3,Male,Bachelor,Married,Star,Standard,2017,5,False
23.0,11,23827.0,9445,23827.0,1761.0,431,12,11,12,0.10038610038610038,-1,Male,Bachelor,Married,Nova,Standard,2012,10,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,Doctor,Married,Star,Standard,2013,9,True
13.0,6,22578.0,14078,22578.0,0.0,0,7,6,12,0.0,-1,Male,Bachelor,Married,Nova,Standard,2014,10,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,Bachelor,Married,Aurora,Standard,2016,4,True
20.0,14,33911.0,27413,33911.0,777.0,140,6,14,12,0.022912243453644728,8,Male,Doctor,Married,Nova,Standard,2013,10,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,Bachelor,Divorced,Star,Standard,2016,12,False
14.0,13,25661.0,23311,25661.0,728.0,131,1,13,12,0.028368794326241134,12,Male,Bachelor,Married,Star,Standard,2014,6,False
20.0,9,36145.0,15132,36145.0,0.0,0,11,9,12,0.0,-2,Male,Bachelor,Single,Star,Standard,2013,3,False
29.0,18,40867.0,28916,61300.0,1212.0,218,11,18,11,0.01977129247483728,7,Male,Bachelor,Married,Star,2018 Promotion,2018,2,False
31.0,19,44035.0,27147,44035.0,1010.0,181,12,19,12,0.022935779816513763,7,Male,Bachelor,Married,Nova,Standard,2013,10,False
1.0,1,2090.0,2090,2090.0,0.0,0,0,1,12,0.0,1,Female,Doctor,Married,Star,Standard,2018,11,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,Bachelor,Married,Nova,Standard,2012,11,False
15.0,13,20885.0,17291,20885.0,800.0,144,2,13,12,0.038303169587283345,11,Female,Bachelor,Married,Nova,Standard,2013,12,False
14.0,5,26424.0,10517,26424.0,675.0,122,9,5,12,0.02554399243140965,-4,Female,Bachelor,Married,Star,Standard,2012,9,False
8.0,7,7660.0,6883,7660.0,493.0,89,1,7,12,0.06435191228299178,6,Female,Bachelor,Divorced,Aurora,Standard,2018,5,False
60.0,36,89625.35999999994,72102,134437.0799999999,459.0,83,26,36,11,0.0024122346016396887,10,Male,Bachelor,Single,Aurora,2018 Promotion,2018,3,False
13.0,9,23751.0,17248,23751.0,998.0,179,4,9,12,0.04201751431458404,5,Male,College,Married,Star,Standard,2013,6,False
27.0,12,43352.0,22326,43352.0,936.0,168,15,12,12,0.021590201370147395,-3,Male,College,Single,Aurora,Standard,2015,4,False
20.0,7,22750.0,7086,22750.0,895.0,161,13,7,12,0.03933893015691618,-6,Female,Bachelor,Married,Aurora,Standard,2013,4,False
18.0,13,33819.0,26807,33819.0,0.0,0,5,13,12,0.0,8,Male,Bachelor,Divorced,Nova,Standard,2012,5,False
25.0,13,28022.0,14536,28022.0,0.0,0,12,13,12,0.0,1,Female,Bachelor,Single,Star,Standard,2017,2,False
14.0,3,20761.0,3724,20761.0,0.0,0,11,3,12,0.0,-8,Male,College,Single,Nova,Standard,2017,3,False
60.0,51,89625.35999999994,91426,134437.0799999999,934.0,168,22,51,11,0.0051898403596214865,29,Female,Bachelor,Married,Nova,2018 Promotion,2018,3,False
15.0,9,25829.0,17982,25829.0,655.0,118,6,9,12,0.02535811072396438,3,Male,Master,Divorced,Star,Standard,2015,5,False
15.0,11,25895.0,18608,25895.0,479.0,86,4,11,12,0.01849706518381217,7,Female,Bachelor,Married,Nova,Standard,2015,5,False
26.0,14,33754.0,20165,33754.0,827.0,149,12,14,12,0.024500074063101764,2,Female,Bachelor,Divorced,Nova,Standard,2016,4,False
7.0,3,12786.0,4990,12786.0,782.0,141,4,3,12,0.06115586142175647,-1,Female,Bachelor,Single,Star,Standard,2015,10,False
15.0,8,20751.0,13632,20751.0,0.0,0,7,8,12,0.0,1,Male,Doctor,Married,Nova,Standard,2017,2,False
12.0,2,17179.0,3238,17179.0,1190.0,214,10,2,12,0.06926658905704307,-8,Female,Bachelor,Married,Star,Standard,2016,1,False
40.0,12,56632.0,29296,84948.0,676.0,122,28,12,11,0.00795771580595416,-16,Male,College,Single,Aurora,2018 Promotion,2018,2,True
16.0,11,18858.0,14855,18858.0,0.0,0,5,11,12,0.0,6,Male,Bachelor,Married,Nova,Standard,2013,9,False
22.0,13,36626.0,23184,36626.0,785.0,141,9,13,12,0.02143227673574139,4,Female,Bachelor,Married,Aurora,Standard,2017,8,False
23.0,13,25494.0,13654,25494.0,1299.0,233,10,13,12,0.0509511668954697,3,Male,Bachelor,Divorced,Aurora,Standard,2013,4,False
29.0,16,41431.0,23865,41431.0,0.0,0,13,16,12,0.0,3,Female,College,Married,Nova,Standard,2012,5,False
1.0,1,602.0,602,602.0,719.0,129,0,1,12,1.1923714759535655,1,Male,Bachelor,Married,Nova,Standard,2018,6,False
11.0,4,20078.0,6863,20078.0,401.0,72,7,4,12,0.019971114099307734,-3,Female,College,Married,Star,Standard,2013,1,False
22.0,13,31367.0,18205,31367.0,439.0,79,9,13,12,0.013995154297373118,4,Female,College,Married,Nova,Standard,2012,5,False
16.0,8,32300.0,15769,32300.0,1162.0,209,8,8,12,0.03597411844834525,0,Male,Bachelor,Married,Star,Standard,2014,5,False
12.0,7,20232.0,10225,20232.0,0.0,0,5,7,12,0.0,2,Female,Bachelor,Married,Nova,Standard,2015,1,False
21.0,9,34362.0,16670,34362.0,0.0,0,12,9,12,0.0,-3,Male,Bachelor,Married,Aurora,Standard,2016,1,False
29.0,18,40496.0,23968,40496.0,0.0,0,11,18,12,0.0,7,Male,Bachelor,Married,Aurora,Standard,2012,10,False
9.0,9,10284.0,10284,10284.0,0.0,0,0,9,12,0.0,9,Female,Doctor,Married,Star,Standard,2018,6,False
19.0,13,30971.0,26010,30971.0,619.0,111,6,13,12,0.01998579362004391,7,Female,Bachelor,Married,Star,Standard,2016,6,False
20.0,7,36282.0,10119,36282.0,632.0,114,13,7,12,0.017418625802717524,-6,Female,Bachelor,Single,Nova,Standard,2014,9,False
18.0,9,30069.0,14922,30069.0,681.0,123,9,9,12,0.022647156634519456,0,Male,Bachelor,Married,Aurora,Standard,2015,4,False
3.0,3,4485.0,4485,4485.0,0.0,0,0,3,12,0.0,3,Male,College,Single,Star,Standard,2018,10,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,College,Single,Nova,Standard,2016,5,True
4.0,4,3636.0,3636,3636.0,456.0,82,0,4,12,0.12537805883970304,4,Male,Bachelor,Married,Aurora,Standard,2018,9,False
15.0,10,27681.0,19452,27681.0,0.0,0,5,10,12,0.0,5,Female,Bachelor,Divorced,Nova,Standard,2015,1,False
60.0,61,89625.35999999994,96326,134437.0799999999,495.0,89,19,61,11,0.002477006375163883,42,Female,College,Married,Star,2018 Promotion,2018,2,False
23.0,11,43941.0,21017,43941.0,0.0,0,12,11,12,0.0,-1,Female,Bachelor,Single,Star,Standard,2013,7,False
20.0,10,32763.0,13018,32763.0,360.0,65,10,10,12,0.010987669393236478,0,Male,Bachelor,Married,Aurora,Standard,2014,7,False
12.0,5,19292.0,4145,19292.0,1419.0,255,7,5,12,0.07354999222515939,-2,Male,Bachelor,Married,Nova,Standard,2014,9,False
17.0,8,28719.0,18076,28719.0,521.0,94,9,8,12,0.018140668523676882,-1,Female,Bachelor,Married,Nova,Standard,2017,6,False
11.0,6,17837.0,12966,17837.0,962.0,173,5,6,12,0.05392981275927795,1,Male,Bachelor,Married,Star,Standard,2017,4,False
18.0,8,37804.0,18135,37804.0,0.0,0,10,8,12,0.0,-2,Male,Bachelor,Married,Aurora,Standard,2015,7,False
29.0,15,40595.0,20012,40595.0,1205.0,217,14,15,12,0.029682727362301705,1,Female,Bachelor,Married,Nova,Standard,2013,10,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,College,Single,Star,Standard,2012,10,False
11.0,10,18122.0,16087,18122.0,902.0,163,1,10,12,0.04977100921480991,9,Male,Master,Single,Star,Standard,2018,6,False
11.0,7,14435.0,8500,14435.0,492.0,89,4,7,12,0.03408146300914381,3,Male,Bachelor,Married,Nova,Standard,2016,3,False
50.0,24,84286.0,28756,126429.0,0.0,0,26,24,11,0.0,-2,Male,Master,Divorced,Star,2018 Promotion,2018,3,False
17.0,7,24305.0,8654,24305.0,755.0,136,10,7,12,0.031062289146712746,-3,Female,College,Married,Nova,Standard,2012,10,False
15.0,8,20559.0,10419,20559.0,1761.0,324,7,8,12,0.08745136186770427,1,Female,Bachelor,Single,Star,Standard,2013,2,False
23.0,11,35008.0,18790,35008.0,0.0,0,12,11,12,0.0,-1,Female,Bachelor,Married,Nova,Standard,2017,4,False
15.0,6,29901.0,10080,29901.0,1124.0,203,9,6,12,0.0375894588990703,-3,Female,Bachelor,Single,Nova,Standard,2013,2,False
49.0,32,89625.35999999994,63408,134437.0799999999,802.0,144,17,32,11,0.005732789123426521,15,Female,Bachelor,Single,Star,2018 Promotion,2018,3,True
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,College,Married,Star,Standard,2014,2,True
16.0,12,21224.0,18223,21224.0,543.0,98,4,12,12,0.02558303886925795,8,Male,Bachelor,Divorced,Star,Standard,2014,2,False
30.0,19,44688.0,25335,44688.0,958.0,172,11,19,12,0.021437042672693505,8,Female,Bachelor,Married,Nova,Standard,2013,6,False
12.0,5,18952.0,9272,18952.0,972.0,175,7,5,12,0.05128475703054925,-2,Male,Bachelor,Married,Aurora,Standard,2017,9,False
16.0,9,16398.0,9150,16398.0,1234.0,222,7,9,12,0.0752484907616318,2,Male,Bachelor,Single,Star,Standard,2012,10,False
50.0,36,65832.0,55288,98748.0,0.0,0,14,36,11,0.0,22,Male,Bachelor,Divorced,Nova,2018 Promotion,2018,2,False
20.0,9,35242.0,19174,35242.0,0.0,0,11,9,12,0.0,-2,Female,Bachelor,Single,Nova,Standard,2017,2,False
25.0,17,37160.0,25397,37160.0,1383.0,249,8,17,12,0.037216436586744166,9,Female,Bachelor,Married,Nova,Standard,2012,6,False
9.0,8,15109.0,12731,15109.0,0.0,0,1,8,12,0.0,7,Male,Bachelor,Single,Nova,Standard,2012,7,False
11.0,9,13538.0,10986,13538.0,342.0,62,2,9,12,0.02526035896299579,7,Female,Doctor,Married,Nova,Standard,2014,9,False
21.0,10,31421.0,14392,31421.0,0.0,0,11,10,12,0.0,-1,Female,Bachelor,Married,Aurora,Standard,2016,6,False
19.0,11,25014.0,18665,25014.0,0.0,0,8,11,12,0.0,3,Male,Bachelor,Divorced,Nova,Standard,2013,11,False
21.0,16,33787.0,23281,33787.0,0.0,0,5,16,12,0.0,11,Male,College,Single,Nova,Standard,2016,10,False
32.0,19,39823.0,23515,39823.0,0.0,0,13,19,12,0.0,6,Female,Bachelor,Married,Nova,Standard,2015,12,False
24.0,14,40422.0,23906,40422.0,575.0,104,10,14,12,0.01422457511812582,4,Female,College,Married,Aurora,Standard,2013,3,False
23.0,9,33300.0,18140,33300.0,471.0,85,14,9,12,0.01414371940782559,-5,Male,Bachelor,Married,Star,Standard,2012,9,False
34.0,15,49403.0,20684,49403.0,728.0,131,19,15,12,0.014735648935308881,-4,Male,High School or Below,Married,Aurora,Standard,2014,3,False
19.0,11,26102.0,13311,26102.0,563.0,101,8,11,12,0.02156840209937555,3,Female,Bachelor,Single,Nova,Standard,2014,2,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,Bachelor,Married,Star,Standard,2013,6,True
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,Doctor,Married,Nova,Standard,2017,7,True
56.0,12,89625.35999999994,27660,134437.0799999999,0.0,0,44,12,11,0.0,-32,Female,Bachelor,Married,Nova,2018 Promotion,2018,2,True
9.0,4,14050.0,4638,14050.0,0.0,0,5,4,12,0.0,-1,Male,Bachelor,Married,Aurora,Standard,2012,8,False
5.0,5,11770.0,11770,11770.0,0.0,0,0,5,12,0.0,5,Female,Bachelor,Married,Aurora,Standard,2018,9,False
12.0,7,12436.0,5983,12436.0,445.0,80,5,7,12,0.03578033287770362,2,Female,College,Single,Star,Standard,2013,11,False
10.0,4,11154.0,2646,11154.0,725.0,131,6,4,12,0.06499327655759748,-2,Female,College,Single,Star,Standard,2012,7,False
25.0,17,32789.0,20905,32789.0,0.0,0,8,17,12,0.0,9,Female,Bachelor,Married,Nova,Standard,2012,12,False
29.0,13,38239.0,19654,38239.0,1009.0,182,16,13,12,0.026385983263598325,-3,Male,Bachelor,Single,Nova,Standard,2012,5,False
23.0,10,35430.0,15645,35430.0,0.0,0,13,10,12,0.0,-3,Male,College,Single,Aurora,Standard,2014,5,False
23.0,14,30537.0,14983,30537.0,0.0,0,9,14,12,0.0,5,Female,Bachelor,Single,Star,Standard,2014,1,False
34.0,19,50423.0,24929,50423.0,492.0,89,15,19,12,0.009757258448357925,4,Female,Bachelor,Married,Nova,Standard,2016,6,False
27.0,17,44512.0,30733,44512.0,0.0,0,10,17,12,0.0,7,Male,Bachelor,Divorced,Aurora,Standard,2015,9,False
49.0,36,59917.0,36800,89875.0,1161.0,209,13,36,11,0.012917797854822199,23,Male,Bachelor,Single,Nova,2018 Promotion,2018,4,False
13.0,5,20022.0,8066,20022.0,432.0,78,8,5,12,0.021575188533186834,-3,Female,Bachelor,Married,Nova,Standard,2013,8,False
19.0,10,32073.0,19833,32073.0,874.0,157,9,10,12,0.02724948556463179,1,Male,College,Single,Aurora,Standard,2014,4,False
22.0,17,36179.0,28411,36179.0,389.0,70,5,17,12,0.010751796572692094,12,Male,Bachelor,Married,Aurora,Standard,2016,4,False
16.0,8,27146.0,14257,27146.0,0.0,0,8,8,12,0.0,0,Male,Bachelor,Married,Star,Standard,2015,11,True
14.0,5,26720.0,8578,26720.0,0.0,0,9,5,12,0.0,-4,Male,Doctor,Divorced,Star,Standard,2012,5,False
21.0,12,40058.0,22714,40058.0,0.0,0,9,12,12,0.0,3,Male,Bachelor,Married,Nova,Standard,2014,5,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Male,Master,Married,Nova,Standard,2012,11,False
14.0,8,17878.0,7636,17878.0,464.0,84,6,8,12,0.025952234465014823,2,Male,Bachelor,Married,Star,Standard,2014,7,False
19.0,12,29847.0,18850,29847.0,0.0,0,7,12,12,0.0,5,Male,Bachelor,Married,Star,Standard,2013,6,False
15.0,13,25142.0,20872,25142.0,0.0,0,2,13,12,0.0,11,Male,Bachelor,Married,Aurora,Standard,2013,4,False
16.0,9,21006.0,11948,21006.0,353.0,64,7,9,12,0.016803922502023134,2,Male,Bachelor,Married,Nova,Standard,2017,3,False
4.0,4,9464.0,9464,9464.0,0.0,0,0,4,12,0.0,4,Female,Bachelor,Married,Nova,Standard,2018,7,False
20.0,17,26350.0,23731,26350.0,1064.0,191,3,17,12,0.04037797427042617,14,Female,Bachelor,Married,Nova,Standard,2016,5,False
20.0,8,17138.0,5365,17138.0,0.0,0,12,8,12,0.0,-4,Male,Doctor,Single,Nova,Standard,2015,7,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,College,Divorced,Aurora,Standard,2013,3,True
6.0,6,7539.0,7539,7539.0,475.0,86,0,6,12,0.0629973474801061,6,Male,Doctor,Married,Nova,Standard,2018,7,False
19.0,7,25198.0,9282,25198.0,0.0,0,12,7,12,0.0,-5,Male,Bachelor,Married,Aurora,Standard,2017,8,False
21.0,12,38510.0,20932,38510.0,0.0,0,9,12,12,0.0,3,Male,College,Divorced,Star,Standard,2016,3,True
26.0,16,38410.0,19346,38410.0,1157.0,209,10,16,12,0.03012157975579912,6,Male,Bachelor,Single,Star,Standard,2015,12,False
21.0,15,31932.0,19506,31932.0,0.0,0,6,15,12,0.0,9,Female,Bachelor,Married,Aurora,Standard,2013,11,False
19.0,13,35274.0,22998,35274.0,684.0,123,6,13,12,0.019390503189227498,7,Male,College,Married,Aurora,Standard,2013,7,False
10.0,5,13529.0,9379,13529.0,0.0,0,5,5,12,0.0,0,Male,College,Single,Aurora,Standard,2016,12,False
19.0,9,27137.0,14568,27137.0,628.0,113,10,9,12,0.02314098312329575,-1,Male,Bachelor,Married,Nova,Standard,2014,2,True
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,Bachelor,Married,Nova,Standard,2015,2,True
20.0,11,27276.0,13653,27276.0,0.0,0,9,11,12,0.0,2,Male,Bachelor,Married,Nova,Standard,2017,2,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,College,Single,Star,Standard,2015,7,True
60.0,47,89625.35999999994,83474,134437.0799999999,521.0,94,19,47,11,0.0033038669828909153,28,Male,College,Divorced,Star,2018 Promotion,2018,4,False
26.0,10,36972.0,13666,36972.0,523.0,94,16,10,12,0.014145457496010603,-6,Female,Bachelor,Married,Star,Standard,2017,9,False
38.0,16,53818.0,17464,80727.0,0.0,0,22,16,11,0.0,-6,Female,Bachelor,Single,Nova,2018 Promotion,2018,3,False
2.0,2,4554.0,4554,4554.0,0.0,0,0,2,12,0.0,2,Male,Bachelor,Married,Nova,Standard,2018,8,False
23.0,13,32507.0,16595,32507.0,467.0,84,10,13,12,0.014365694598252737,3,Male,Bachelor,Married,Aurora,Standard,2015,5,False
5.0,5,5893.0,5893,5893.0,686.0,123,0,5,12,0.1163895486935867,5,Male,Bachelor,Married,Nova,Standard,2018,10,False
28.0,12,40925.0,18256,40925.0,438.0,79,16,12,12,0.010702243072863217,-4,Male,College,Single,Nova,Standard,2012,8,False
19.0,9,28910.0,11090,28910.0,1694.0,305,10,9,12,0.05859361488706721,-1,Male,College,Single,Nova,Standard,2017,1,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,College,Single,Nova,Standard,2017,4,True
14.0,7,23004.0,12558,23004.0,0.0,0,7,7,12,0.0,0,Male,Bachelor,Married,Star,Standard,2012,6,False
60.0,43,84164.0,62940,126246.0,474.0,85,32,43,11,0.0037545446624474245,11,Female,Bachelor,Single,Nova,2018 Promotion,2018,4,False
10.0,5,10621.0,6642,10621.0,293.0,53,5,5,12,0.027584259084918093,0,Male,High School or Below,Single,Star,Standard,2018,12,False
22.0,12,37375.0,20694,37375.0,319.0,57,10,12,12,0.008534888698630137,2,Female,College,Divorced,Aurora,Standard,2016,3,False
25.0,12,37075.0,10880,37075.0,518.0,93,13,12,12,0.013971302190096018,-1,Female,College,Divorced,Star,Standard,2017,1,False
0.0,0,0.0,0,0.0,0.0,0,0,0,12,0.0,0,Female,Bachelor,Married,Nova,Standard,2015,4,True
15.0,0,25104.0,0,25104.0,0.0,0,15,0,12,0.0,-15,Female,Bachelor,Married,Star,Standard,2013,5,True
18.0,7,29750.0,13517,29750.0,408.0,73,11,7,12,0.01371382474538671,-4,Female,Bachelor,Married,Aurora,Standard,2016,7,False
27.0,12,39374.0,18728,39374.0,0.0,0,15,12,12,0.0,-3,Male,Bachelor,Divorced,Star,Standard,2017,7,False
